"artist","album","song","popularity","duration_ms","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","genre"
"The Neighbourhood","Wiped Out!","Daddy Issues",87,260173,0.588,0.521,-9.461,0.0329,0.0678,0.149,0.123,0.337,85.012,"alt-rock"
"MGMT","Little Dark Age","Little Dark Age",83,299960,0.705,0.712,-6.156,0.0385,0.0102,0.000855,0.1,0.62,97.512,"alt-rock"
"The Neighbourhood","Hard To Imagine The Neighbourhood Ever Changing","Softcore",86,206280,0.575,0.568,-5.509,0.03,0.0484,0.000417,0.286,0.37,93.986,"alt-rock"
"The Neighbourhood","I Love You.","Sweater Weather",93,240400,0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,"alt-rock"
"The Neighbourhood","Hard To Imagine The Neighbourhood Ever Changing","You Get Me So High",83,153000,0.551,0.881,-6.099,0.0542,0.186,0.0791,0.152,0.387,88.036,"alt-rock"
"Sam Tinnesz;Yacht Money","Play with Fire (feat. Yacht Money)","Play with Fire (feat. Yacht Money)",76,180690,0.573,0.539,-6.091,0.0322,0.0162,1.16e-05,0.105,0.39,75.012,"alt-rock"
"Nirvana","Nevermind (Remastered)","Something In The Way",76,232146,0.427,0.201,-13.044,0.0317,0.745,0.263,0.109,0.0668,105.218,"alt-rock"
"KALEO","A/B","Way down We Go",78,213706,0.489,0.505,-8.022,0.117,0.579,0.000333,0.104,0.337,163.255,"alt-rock"
"The Score","ATLAS","Unstoppable",73,192106,0.485,0.843,-3.993,0.0467,0.00129,1.01e-05,0.14,0.602,78.001,"alt-rock"
"Nirvana","Nevermind (Remastered)","Smells Like Teen Spirit",83,301920,0.502,0.912,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,"alt-rock"
"grandson","Blood // Water","Blood // Water",75,216720,0.51,0.882,-5.659,0.159,0.00158,0.00206,0.0764,0.653,154.029,"alt-rock"
"WALK THE MOON","TALKING IS HARD","Shut Up and Dance",83,199080,0.578,0.866,-3.804,0.0619,0.00701,0,0.257,0.619,128.038,"alt-rock"
"The Score","Carry On","Born For This",69,237375,0.411,0.675,-6.251,0.0591,0.063,0,0.092,0.545,130.134,"alt-rock"
"Red Hot Chili Peppers","All That Really Matters - Just Hits","Tippa My Tongue",4,260808,0.573,0.913,-6.52,0.0409,0.00861,0.0273,0.114,0.795,88.418,"alt-rock"
"Red Hot Chili Peppers","Rock Brandneu","Tippa My Tongue",2,260808,0.573,0.913,-6.52,0.0409,0.00861,0.0273,0.114,0.795,88.418,"alt-rock"
"The Killers","Workout Hits 2023","Mr. Brightside",2,223973,0.344,0.931,-3.759,0.0783,0.00104,0,0.0903,0.251,148.104,"alt-rock"
"Red Hot Chili Peppers","OK Boomers - Top Tunes","Californication",2,329733,0.592,0.765,-2.788,0.027,0.0021,0.00154,0.127,0.327,96.483,"alt-rock"
"Red Hot Chili Peppers","Rock Brandneu","Nerve Flip",0,186148,0.386,0.936,-4.005,0.0701,0.0121,1.6e-05,0.266,0.418,176.366,"alt-rock"
