"Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","User_Score","Rating"
"Wii Sports","Wii",2006,"Sports","Nintendo",41.36,28.96,3.77,8.45,82.53,8,"E"
"Mario Kart Wii","Wii",2008,"Racing","Nintendo",15.68,12.76,3.79,3.29,35.52,8.3,"E"
"Wii Sports Resort","Wii",2009,"Sports","Nintendo",15.61,10.93,3.28,2.95,32.77,8,"E"
"New Super Mario Bros.","DS",2006,"Platform","Nintendo",11.28,9.14,6.5,2.88,29.8,8.5,"E"
"Wii Play","Wii",2006,"Misc","Nintendo",13.96,9.18,2.93,2.84,28.92,6.6,"E"
"New Super Mario Bros. Wii","Wii",2009,"Platform","Nintendo",14.44,6.94,4.7,2.24,28.32,8.4,"E"
"Mario Kart DS","DS",2005,"Racing","Nintendo",9.71,7.47,4.13,1.9,23.21,8.6,"E"
"Wii Fit","Wii",2007,"Sports","Nintendo",8.92,8.03,3.6,2.15,22.7,7.7,"E"
"Kinect Adventures!","X360",2010,"Misc","Microsoft Game Studios",15,4.89,0.24,1.69,21.81,6.3,"E"
"Wii Fit Plus","Wii",2009,"Sports","Nintendo",9.01,8.49,2.53,1.77,21.79,7.4,"E"
"Grand Theft Auto V","PS3",2013,"Action","Take-Two Interactive",7.02,9.09,0.98,3.96,21.04,8.2,"M"
"Grand Theft Auto: San Andreas","PS2",2004,"Action","Take-Two Interactive",9.43,0.4,0.41,10.57,20.81,9,"M"
"Brain Age: Train Your Brain in Minutes a Day","DS",2005,"Misc","Nintendo",4.74,9.2,4.16,2.04,20.15,7.9,"E"
"Grand Theft Auto V","X360",2013,"Action","Take-Two Interactive",9.66,5.14,0.06,1.41,16.27,8.1,"M"
"Grand Theft Auto: Vice City","PS2",2002,"Action","Take-Two Interactive",8.41,5.49,0.47,1.78,16.15,8.7,"M"
"Brain Age 2: More Training in Minutes a Day","DS",2005,"Puzzle","Nintendo",3.43,5.35,5.32,1.18,15.29,7.1,"E"
"Gran Turismo 3: A-Spec","PS2",2001,"Racing","Sony Computer Entertainment",6.85,5.09,1.87,1.16,14.98,8.4,"E"
